Rank,Username,Name,Category,Followers,Country,Eng. Auth.,Eng. Avg.
1,rohitsharma45,Rohit Sharma,Sports with a ball; Lifestyle; ,37.9M,India,3.1M,3.5M
2,jlo,Jennifer Lopez,Music; Cinema & Actors/actresses; ,253.2M,United States,334.2K,492.7K
3,yong.lixx,Felix,,22M,Brazil,2.4M,3.2M
4,jasonstatham,Jason Statham,Cinema & Actors/actresses; ,42M,Iran,1.1M,1.4M
5,vindiesel,Vin Diesel,Cinema & Actors/actresses; ,102.9M,Brazil,386.2K,495K
6,johnnydepp,Johnny Depp,Cinema & Actors/actresses; Music; ,28.7M,United States,894K,1.1M
7,susana.dxoxo,Susane Damouni,,25.3M,United States,572K,1.3M
8,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness & Gym; ,13.8M,Russia,1.3M,1.7M
9,cznburak,Burak Özdemir,Food & Cooking; ,54.3M,Turkey,284.2K,370.3K
10,thenotoriousmma,Conor McGregor Official,Fitness & Gym; ,47.6M,United States,328.8K,417K
11,gnabnahc,Bang Chan,,8M,Brazil,1.8M,2.4M
12,gusein.gasanov,ГУСЕЙН ГАСАНОВ,Shows; ,28.6M,Russia,374K,533.8K
13,victoriabeckham,Victoria Beckham,Fashion; Family; ,33M,United Kingdom,286.8K,370.5K
14,hakkiakdenizz,hakki akdeniz,Business & Careers; ,35.4M,Turkey,196.1K,332K
15,khabib_nurmagomedov,Хабиб Нурмагомедов,Fitness & Gym; ,36.8M,Russia,190.4K,237.2K
16,otabek_muhammadalievich,Otabek Umarov,,32.7M,Russia,163K,258.8K
17,pugachevmark,Mark Pugachev,Cars & Motorbikes; Luxury; ,19.8M,Russia,176.5K,403.6K
18,hannahstocking,Hannah Stocking,Modeling; ,26.4M,United States,204.2K,273.3K
19,snejanaonopka15,Snejana Onopka,Modeling; ,15.8M,Brazil,262.2K,457.8K
20,araikgalstyanmoscowschool,ARAIK GALSTYAN,Beauty; ,22.4M,Russia,153K,292.4K
21,subo_m,Субо Мамедов,Shows; ,13M,Russia,301.7K,375.6K
22,erkangndzlp,Erkan Gündüzalp,,9M,Russia,254K,520.6K
23,kashikakapoor09,Kashika Kapoor,Beauty; Lifestyle; Cinema & Actors/actresses; ,18.2M,India,106.9K,237.4K
24,evcenf,Fahriye Evcen Özçivit,Lifestyle; Beauty; ,13.8M,Turkey,236.4K,304.8K
25,hasbulla.hushetskiy,Hasbulla Magomedov,Lifestyle; ,8.3M,Russia,329.8K,491.9K
26,neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actresses; Modeling; ,14.2M,Iraq,221.2K,273.3K
27,thebursin,Kerem Bürsin,Cinema & Actors/actresses; ,11.3M,Turkey,269.7K,336.5K
28,ulugbekhon,Ulugbekhon Maksumov,Business & Careers; ,12M,Russia,158.6K,296.1K
29,irinashayk,irina shayk,Modeling; ,23.5M,Russia,112.6K,143.7K
30,rosiehw,Rosie HW,Modeling; ,19.9M,United States,117K,160.7K
31,eilirjani,Elton ILIRJANI,Adult content; ,12.1M,United States,112.5K,251.9K
32,schwarzenegger,Arnold Schwarzenegger,Cinema & Actors/actresses; Fitness & Gym; ,26.3M,United States,80.1K,101.9K
33,pinchuk_official,Ирина Пинчук,,5M,Russia,401K,516.5K
34,urgantcom,Иван Ургант,Shows; Cinema & Actors/actresses; ,11.9M,Russia,174.8K,201.1K
35,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses; ,62.1M,United States,30.8K,37.9K
36,twentyonepilots,twenty one pilots,Music; ,8.6M,United States,223.3K,265.1K
37,brianmaps,Брайн Мапс (Макс Тарасенко),,5.9M,Russia,310.6K,348.4K
38,islam_makhachev,Islam_Makhachev,Fitness & Gym; ,8.3M,Russia,196.8K,244.6K
39,kikakim,Kristina Kim,Lifestyle; Music; ,8.5M,Kazakhstan,186.5K,219.3K
40,lilpump,Pump,Music; ,14.1M,United States,78.1K,129.3K
41,rahimabramov,Rakhim,Shows; ,6M,Russia,167.1K,275.4K
42,chrismcg,Christopher McGinnis,,10M,United States,44.5K,151.9K
43,wengallbi_tm,Ахмед Алиасхабов,Cars & Motorbikes; ,5.3M,Russia,227.3K,281K
44,timatiofficial,13,Music; Fitness & Gym; Lifestyle; ,20.2M,Russia,56.5K,69K
45,abdu_rozik,Abduroziq Official,Music; Shows; ,8.3M,Tajikistan,127.6K,163.2K
46,imaginedragons,Imagine Dragons,Music; ,8.1M,United States,141.6K,168.1K
47,mercedesbenz,Mercedes-Benz,Cars & Motorbikes; Luxury; ,38.5M,Iran,26.6K,33.1K
48,adidas,adidas,Clothing & Outfits; Fitness & Gym; ,29M,United States,34.4K,43.8K
49,kvara7,Khvicha Kvaratskhelia,,3.5M,Russia,284.6K,364.4K
50,ufc,UFC,Extreme Sports & Outdoor activity; Shows; ,41.7M,United States,24.4K,29.6K
